Time,IntDen1,IntDen2,IntDen3,IntDen4,IntDen5,IntDen6,IntDen7,IntDen8,IntDen9,IntDen10,IntDen11,IntDen12,IntDen13,IntDen14,IntDen15,IntDen16,IntDen17,IntDen18,IntDen19,IntDen20,IntDen21,IntDen22,IntDen23,IntDen24,IntDen25,IntDen26,IntDen27,IntDen28,IntDen29,IntDen30,IntDen31,IntDen32,IntDen33,IntDen34,IntDen35,IntDen36,IntDen37,IntDen38,IntDen39,IntDen40,IntDen41,IntDen42,IntDen43,IntDen44,IntDen45,IntDen46,IntDen47,IntDen48,IntDen49,IntDen50,IntDen51,IntDen52,IntDen53,IntDen54,IntDen55,IntDen56,IntDen57,IntDen58,IntDen59,IntDen60,RawIntDen60
1,2827,1351,3868,1012,1417,3997,1002,6233,2518,2801,10792,1617,1751,7032,5687,3098,5042,3972,3713,1113,5736,1530,1599,3283,1441,2383,1375,3346,5176,1286,1382,2902,1326,3639,3168,1932,2081,1436,2283,2731,955,3253,1671,2623,4336,1900,3268,1923,4809,1974,2734,566,1837,1105,1023,1396,3491,3714,3752,2269,2269
2,3041,1390,4209,976,1416,3865,1217,5641,2269,2707,11171,1531,1895,6668,5918,2959,5672,3779,3419,1036,5462,1698,2180,2622,1478,2181,1663,3459,5645,1128,1251,2942,1617,3506,3923,2118,1733,1797,2193,2183,1495,2787,1681,2558,4577,1917,3168,2437,4572,2062,3265,577,1517,1022,1355,1288,3400,3401,3276,2356,2356
3,2963,1453,4431,738,1089,3481,1121,6084,2636,2969,10996,1321,1467,6935,6483,3505,6264,3763,2864,1121,5643,1984,1898,2683,1057,1931,1502,3621,4947,1516,1455,3010,1571,3914,3070,1685,1923,1328,2608,2734,1191,3035,1505,2501,5053,1548,3354,2092,4086,2091,3194,617,1563,1327,1415,1211,3822,3023,3403,2098,2098
4,2759,1077,4683,1014,1666,3364,1061,5893,2407,3121,10765,1405,1569,6799,5931,3093,6549,4280,3886,1075,5416,2087,2006,3088,1377,1992,1738,3566,5052,1515,1219,2967,1444,3227,3133,2248,1988,1326,2502,2408,1916,2967,2016,2691,4356,1665,3571,2099,4248,1974,2738,419,1783,1165,1167,1514,4057,3011,3703,2029,2029
5,3343,1491,4633,765,1380,3567,1315,6444,2355,3184,10528,2194,1631,6837,5880,3673,6708,4658,3403,1227,5498,2211,2104,3043,1435,2466,1292,3534,5152,1328,1101,2923,1311,3325,3336,2191,1947,1805,2735,2763,1139,3373,1497,2843,4406,1596,3332,2020,3874,1850,3130,598,2176,1132,1184,1227,2922,2863,3696,2255,2255
6,2869,1545,4629,789,1377,3487,1311,6340,2595,2993,10970,1803,1575,7000,5326,3362,6421,3978,3081,1303,5495,1832,2202,2947,1333,2265,1722,3546,5443,1440,1094,2783,1498,3049,3098,1662,1817,1852,2473,2565,1283,3111,1622,2449,4829,1578,2852,2158,4540,1772,2711,753,1857,1455,1298,1829,3249,3631,3477,2854,2854
7,3041,1702,4053,899,1343,3476,1210,6454,2461,2966,10005,1666,1580,7043,5956,3438,5623,3860,3799,1322,5082,1679,1939,2936,1552,2243,1447,3924,5209,1387,1365,2946,1833,3711,3387,1823,1970,1671,2243,2346,996,3014,1379,2593,3998,1946,3382,1855,4276,1866,3089,528,1691,1288,1320,1406,4426,3128,3508,2568,2568
8,2818,1732,3984,919,1362,3908,963,6643,2575,3387,10860,1381,1652,6977,6543,3412,6325,4005,3273,1120,4941,2177,2481,2954,1367,1902,1565,4166,5780,1328,1089,2800,1467,3692,3613,2078,1656,1737,2284,2161,1315,2868,1623,2525,4345,2014,3389,2020,4614,1965,2803,573,1910,998,1121,1375,3768,3609,3650,1950,1950
9,2763,1516,3997,930,1356,3757,1333,6686,2671,2914,10359,1493,1701,7056,6410,3118,6299,3635,3139,920,4501,1934,2282,2650,1442,1957,1745,3671,5494,1685,1346,2351,1409,3585,3984,1918,1832,1495,2618,2479,1028,2938,1693,2821,4285,1846,3356,1965,4672,2082,2232,304,1947,1557,1229,1110,3562,3178,3639,2707,2707
10,2818,1967,4353,853,1149,3844,1319,6434,2939,3121,11492,1540,1750,7995,6971,3858,6100,4025,3381,1082,5188,2032,2587,3079,1615,2207,1506,3937,5446,1695,1495,2590,1576,4012,3674,1850,1965,1638,2624,2775,1271,2945,1823,2472,4333,1671,3352,2183,4853,2213,2794,704,2064,1550,1114,1247,3414,3450,3632,2626,2626
